Date	Count	Days2T1	Group
2022/12/22	170	296	Seq
2022/12/23	82	297	Seq
2022/12/24	74	298	Seq
2022/12/25	119	299	Seq
2022/12/26	222	300	Seq
2022/12/27	247	301	Seq
2022/12/28	302	302	Seq
2022/12/29	127	303	Seq
2022/12/30	123	304	Seq
2022/12/31	50	305	Seq
2023/1/1	57	306	Seq
2023/1/2	243	307	Seq
2023/1/3	417	308	Seq
2023/1/4	215	309	Seq
2023/1/5	260	310	Seq
2023/1/6	138	311	Seq
2023/1/7	95	312	Seq
2023/1/8	147	313	Seq
2023/1/9	315	314	Seq
2023/1/10	220	315	Seq
2023/1/11	197	316	Seq
2023/1/12	154	317	Seq
2023/1/13	79	318	Seq
2023/1/14	46	319	Seq
2023/1/15	132	320	Seq
2023/1/16	274	321	Seq
2023/1/17	180	322	Seq
2023/1/18	99	323	Seq
2023/1/19	108	324	Seq
2023/1/20	93	325	Seq
2023/1/21	30	326	Seq
2023/1/22	50	327	Seq
2023/1/23	58	328	Seq
2023/1/24	62	329	Seq
2023/1/25	81	330	Seq
2023/1/26	73	331	Seq
2023/1/27	34	332	Seq
2023/1/28	153	333	Seq
2023/1/29	57	334	Seq
2023/1/30	130	335	Seq
2023/1/31	61	336	Seq
2023/2/1	125	337	Seq
2023/2/2	93	338	Seq
2023/2/3	89	339	Seq
2023/2/4	28	340	Seq
2023/2/5	56	341	Seq
2023/2/6	125	342	Seq
2023/2/7	122	343	Seq
2023/2/8	61	344	Seq
2023/2/9	66	345	Seq
2023/2/10	121	346	Seq
2023/2/11	39	347	Seq
2023/2/12	65	348	Seq
2023/2/13	102	349	Seq
2023/2/14	94	350	Seq
2023/2/15	69	351	Seq
2023/2/16	113	352	Seq
2023/2/17	84	353	Seq
2023/2/18	83	354	Seq
2023/2/19	51	355	Seq
2023/2/20	104	356	Seq
2023/2/21	202	357	Seq
2023/2/22	69	358	Seq
2023/2/23	114	359	Seq
2023/2/24	142	360	Seq
2023/2/25	52	361	Seq
2023/2/26	61	362	Seq
2023/2/27	113	363	Seq
2023/2/28	123	364	Seq
2023/3/1	86	365	Seq
2023/3/2	104	366	Seq
2023/3/3	159	367	Seq
2023/3/4	52	368	Seq
2023/3/5	42	369	Seq
2023/3/6	140	370	Seq
2023/3/7	93	371	Seq
2023/3/8	89	372	Seq
2023/3/9	74	373	Seq
2023/3/10	124	374	Seq
2023/3/11	42	375	Seq
2023/3/12	49	376	Seq
2023/3/13	95	377	Seq
2023/3/14	99	378	Seq
2023/3/15	80	379	Seq
2023/3/16	98	380	Seq
2023/3/17	89	381	Seq
2023/3/18	63	382	Seq
2023/3/19	32	383	Seq
2023/3/20	96	384	Seq
2023/3/21	82	385	Seq
2023/3/22	46	386	Seq
2023/3/23	81	387	Seq
2023/3/24	32	388	Seq
2023/3/25	34	389	Seq
2023/3/26	35	390	Seq
2023/3/27	56	391	Seq
2023/3/28	55	392	Seq
2023/3/29	51	393	Seq
2023/3/30	28	394	Seq
2023/3/31	38	395	Seq
2023/4/1	25	396	Seq
2023/4/2	25	397	Seq
2023/4/3	43	398	Seq
2023/4/4	21	399	Seq
2023/4/5	23	400	Seq
2023/4/6	46	401	Seq
2023/4/7	27	402	Seq
2023/4/8	14	403	Seq
2023/4/9	16	404	Seq
2023/4/10	52	405	Seq
2023/4/11	38	406	Seq
2023/4/12	17	407	Seq
2023/4/13	20	408	Seq
2023/4/14	19	409	Seq
2023/4/15	7	410	Seq
2023/4/16	14	411	Seq
2023/4/17	78	412	Seq
2023/4/18	88	413	Seq
2023/4/19	49	414	Seq
2023/4/20	35	415	Seq
2023/4/21	24	416	Seq
2023/4/22	16	417	Seq
2023/4/23	45	418	Seq
2023/4/24	30	419	Seq
2023/4/25	54	420	Seq
2023/4/26	17	421	Seq
2023/4/27	4	422	Seq
2023/4/28	13	423	Seq
2023/4/29	1	424	Seq
2023/4/30	16	425	Seq
2023/5/1	9	426	Seq
2023/5/2	17	427	Seq
2023/5/3	24	428	Seq
2023/5/4	11	429	Seq
2023/5/5	8	430	Seq
2023/5/6	3	431	Seq
2023/5/8	3	433	Seq
2023/5/9	4	434	Seq
2023/5/11	3	436	Seq
2023/5/23	2	448	Seq
Mar-22	0	0	Date
Apr-22	-1	31	Date
May-22	0	61	Date
Jun-22	-1	92	Date
Jul-22	0	122	Date
Aug-22	-1	153	Date
Sep-22	0	184	Date
Oct-22	-1	214	Date
Nov-22	0	245	Date
Dec-22	-1	275	Date
Jan-23	0	306	Date
Feb-23	-1	337	Date
Mar-23	0	365	Date
Apr-23	-1	396	Date
May-23	0	426	Date
