Date	Cases	Date2T1	Group
2023/4/8	149.429	225	case
2023/4/9	175.429	226	case
2023/4/10	178.429	227	case
2023/4/11	180.714	228	case
2023/4/12	183.571	229	case
2023/4/13	209	230	case
2023/4/14	237	231	case
2023/4/15	237	232	case
2023/4/16	242.714	233	case
2023/4/17	261	234	case
2023/4/18	275.429	235	case
2023/4/19	288.714	236	case
2023/4/20	296.714	237	case
2023/4/21	301.143	238	case
2023/4/22	301.143	239	case
2023/4/23	315.143	240	case
2023/4/24	335.571	241	case
2023/4/25	344.571	242	case
2023/4/26	361.429	243	case
2023/4/27	381.286	244	case
2023/4/28	404.429	245	case
2023/4/29	404.429	246	case
2023/4/30	440.286	247	case
2023/5/1	474	248	case
2023/5/2	484.429	249	case
2023/5/3	491.857	250	case
2023/5/4	500.714	251	case
2023/5/5	511.143	252	case
2023/5/6	511.143	253	case
2023/5/7	533.714	254	case
2023/5/8	548.857	255	case
2023/5/9	561.429	256	case
2023/5/10	575.714	257	case
2023/5/11	596.857	258	case
2023/5/12	612.571	259	case
2023/5/13	613.429	260	case
2023/5/14	634.286	261	case
2023/5/15	652.286	262	case
2023/5/16	659.429	263	case
2023/5/17	660	264	case
2023/5/18	646	265	case
2023/5/19	632.714	266	case
2023/5/20	631.857	267	case
2023/5/21	633.857	268	case
2023/5/22	688.286	269	case
2023/5/23	687.857	270	case
2022/12/7	21206.143	103	Day
2022/12/7	21206.143	0	Day
