Date	Cases	Date2T1	Group
2022/10/1	43298.857	132	case
2022/10/2	43894.571	133	case
2022/10/3	44571.143	134	case
2022/10/4	45119.714	135	case
2022/10/5	46045.143	136	case
2022/10/6	46311.143	137	case
2022/10/7	47420.571	138	case
2022/10/8	47690	139	case
2022/10/9	47955.143	140	case
2022/10/10	47847.571	141	case
2022/10/11	46738	142	case
2022/10/12	46446.857	143	case
2022/10/13	47476.857	144	case
2022/10/14	47122.286	145	case
2022/10/15	46987.143	146	case
2022/10/16	46575.429	147	case
2022/10/17	46099.857	148	case
2022/10/18	46590.286	149	case
2022/10/19	45444.714	150	case
2022/10/20	43428.429	151	case
2022/10/21	41832.286	152	case
2022/10/22	40764	153	case
2022/10/23	39861.143	154	case
2022/10/24	39504.429	155	case
2022/10/25	38716.143	156	case
2022/10/26	38136.714	157	case
2022/10/27	37643.429	158	case
2022/10/28	37332.143	159	case
2022/10/29	36856.286	160	case
2022/10/30	36357.429	161	case
2022/10/31	35848.714	162	case
2022/11/1	35149.143	163	case
2022/11/2	33689.714	164	case
2022/11/3	33343.429	165	case
2022/11/4	32252.429	166	case
2022/11/5	31300.286	167	case
2022/11/6	30233	168	case
2022/11/7	29419	169	case
2022/11/8	28194.857	170	case
2022/11/9	27571.714	171	case
2022/11/10	26112.571	172	case
2022/11/11	25283	173	case
2022/11/12	24535	174	case
2022/11/13	23950.286	175	case
2022/11/14	24090.286	176	case
2022/11/15	23269.571	177	case
2022/11/16	23180.429	178	case
2022/11/17	23112.714	179	case
2022/11/18	22948.143	180	case
2022/11/19	22687.571	181	case
2022/11/20	22457.571	182	case
2022/11/21	21898	183	case
2022/11/22	22054.857	184	case
2022/11/23	21638.714	185	case
2022/11/24	21188.857	186	case
2022/11/25	20848	187	case
2022/11/26	20600.714	188	case
2022/11/27	20392.143	189	case
2022/11/28	20423.714	190	case
2022/11/29	20524.143	191	case
2022/11/30	20548.429	192	case
2022/12/1	20673.143	193	case
2022/12/2	20778.857	194	case
2022/12/3	20877.286	195	case
2022/12/4	20988.429	196	case
2022/12/5	21206	197	case
2022/12/6	21173.286	198	case
2022/12/7	21206.143	199	case
2022/12/8	21231.286	200	case
2022/12/9	84506	201	case
2022/12/10	159699.714	202	case
2022/12/11	263698.857	203	case
2022/12/12	389166.429	204	case
2022/12/13	532988.429	205	case
2022/12/14	703742.143	206	case
2022/12/15	956197.429	207	case
2022/12/16	1218625.714	208	case
2022/12/17	1585507.143	209	case
2022/12/18	2059929.286	210	case
2022/12/19	2660908.571	211	case
2022/12/20	3357355	212	case
2022/12/21	4102314	213	case
2022/12/22	4841782	214	case
2022/12/23	5417115.143	215	case
2022/12/24	5782211	216	case
2022/12/25	5882128.571	217	case
2022/12/26	5790632	218	case
2022/12/27	5569412	219	case
2022/12/28	5154944	220	case
2022/12/29	4578255	221	case
2022/12/30	4021322.286	222	case
2022/12/31	3520696.571	223	case
2023/1/1	3069032.143	224	case
2023/1/2	2614744.429	225	case
2023/1/3	2187263.857	226	case
2023/1/4	1861150.571	227	case
2023/1/5	1584388.571	228	case
2023/1/6	1360671.143	229	case
2023/1/7	1151680.286	230	case
2023/1/8	997541.429	231	case
2023/1/9	872574.857	232	case
2023/1/10	735732.143	233	case
2023/1/11	601334.857	234	case
2023/1/12	499208.429	235	case
2023/1/13	409101.429	236	case
2023/1/14	337367.286	237	case
2023/1/15	282204.714	238	case
2023/1/16	240472	239	case
2023/1/17	201628.429	240	case
2023/1/18	172752	241	case
2023/1/19	146501.143	242	case
2023/1/20	125455.143	243	case
2023/1/21	107883.286	244	case
2023/1/22	94048.429	245	case
2023/1/23	81296.286	246	case
2023/1/24	64255.143	247	case
2023/1/25	51678.714	248	case
2023/1/26	40770.714	249	case
2023/1/27	32145.571	250	case
2023/1/28	25077.429	251	case
2023/1/29	22668.571	252	case
2023/1/30	22146.143	253	case
2023/1/31	24618.286	254	case
2023/2/1	26417.286	255	case
2023/2/2	24080.429	256	case
2023/2/3	28100	257	case
2023/2/4	27567	258	case
2023/2/5	26936.286	259	case
2023/2/6	26117.429	260	case
2023/2/7	24839.143	261	case
2023/2/8	23744.143	262	case
2023/2/9	26695.286	263	case
2023/2/10	21936.571	264	case
2023/2/11	24633.286	265	case
2023/2/12		266	case
2023/2/13	21354.571	267	case
2023/2/14	20929.571	268	case
2023/2/15	20289.143	269	case
2023/2/16	19682.143	270	case
2023/2/17	16878	271	case
2023/2/18	15121.286	272	case
2023/2/19	17409.571	273	case
2023/2/20	16670.143	274	case
2023/2/21	16196.571	275	case
2023/2/22	15701.714	276	case
2023/2/23	15356.571	277	case
2023/2/24	15356.571	278	case
2023/2/25	11095.714	279	case
2023/2/26	14542.571	280	case
2023/2/27	13922	281	case
2023/2/28	12898.143	282	case
2023/3/1	12284.857	283	case
2023/3/2	12235	284	case
2023/3/3	12235	285	case
2023/3/4	12112.857	286	case
2023/3/5	11455.286	287	case
2023/3/6	11353.857	288	case
2023/3/7	11477.143	289	case
2023/3/8	11302.286	290	case
2023/3/9	10653.143	291	case
2023/3/10	10653.143	292	case
2023/3/11	13181.143	293	case
2023/3/12	9406.857	294	case
2023/3/13	9331.143	295	case
2023/3/14	9196.143	296	case
2023/3/15	9073.429	297	case
2023/3/16	8996.286	298	case
2023/3/17	8996.286	299	case
2023/3/18	9328.714	300	case
2023/3/19	8720.714	301	case
2023/3/20	8575.286	302	case
2023/3/21	7511.857	303	case
2023/3/22	6092.286	304	case
2023/3/23	4808.714	305	case
2023/3/24	4808.714	306	case
2023/3/25	1943.143	307	case
2023/3/26	1341.286	308	case
2023/3/27	549.857	309	case
2023/3/28	172.857	310	case
2023/3/29	140.143	311	case
2023/3/30	133.286	312	case
2023/3/31	133.286	313	case
2023/4/1	124.571	314	case
2023/4/2	58	315	case
2023/4/3	148.714	316	case
2023/4/4	152.714	317	case
2023/4/5	158.143	318	case
2023/4/6	149.429	319	case
2023/4/7	149.429	320	case
2023/4/8	149.429	321	case
2023/4/9	175.429	322	case
2023/4/10	178.429	323	case
2023/4/11	180.714	324	case
2023/4/12	183.571	325	case
2023/4/13	209	326	case
2023/4/14	237	327	case
2023/4/15	237	328	case
2023/4/16	242.714	329	case
2023/4/17	261	330	case
2023/4/18	275.429	331	case
2023/4/19	288.714	332	case
2023/4/20	296.714	333	case
2023/4/21	301.143	334	case
2023/4/22	301.143	335	case
2023/4/23	315.143	336	case
2023/4/24	335.571	337	case
2023/4/25	344.571	338	case
2023/4/26	361.429	339	case
2023/4/27	381.286	340	case
2023/4/28	404.429	341	case
2023/4/29	404.429	342	case
2023/4/30	440.286	343	case
2023/5/1	474	344	case
2023/5/2	484.429	345	case
2023/5/3	491.857	346	case
2023/5/4	500.714	347	case
2023/5/5	511.143	348	case
2023/5/6	511.143	349	case
2023/5/7	533.714	350	case
2023/5/8	548.857	351	case
2023/5/9	561.429	352	case
2023/5/10	575.714	353	case
2023/5/11	596.857	354	case
2023/5/12	612.571	355	case
2023/5/13	613.429	356	case
2023/5/14	634.286	357	case
2023/5/15	652.286	358	case
2023/5/16	659.429	359	case
2023/5/17	660	360	case
2023/5/18	646	361	case
2023/5/19	632.714	362	case
2023/5/20	631.857	363	case
2023/5/21	633.857	364	case
2023/5/22	688.286	365	case
2023/5/23	687.857	366	case
2022/12/7	21206.143	199	Day
2022/12/7	21206.143	0	Day
